date,week,year,day,category,food_item,delivery_company,orders,staff_required
04/01/2022,1,2022,Tuesday,vegan,Plain Rice,Deliveroo,1,5
04/01/2022,1,2022,Tuesday,vegan,Kategna,JustEat,1,5
04/01/2022,1,2022,Tuesday,mixed,Meat Combination,JustEat,1,5
04/01/2022,1,2022,Tuesday,mixed,Meat Combination,UberEats,1,5
05/01/2022,1,2022,Wednesday,vegan,Miser Kik,Deliveroo,1,5
05/01/2022,1,2022,Wednesday,mixed,Minchet Abish Wot,Deliveroo,1,5
05/01/2022,1,2022,Wednesday,mixed,Minchet Abish Wot,UberEats,1,5
05/01/2022,1,2022,Wednesday,mixed,Meat Combination,JustEat,1,5
05/01/2022,1,2022,Wednesday,mixed,Doro Wot,JustEat,1,5
05/01/2022,1,2022,Wednesday,mixed,Chicken Tibs,Deliveroo,1,5
05/01/2022,1,2022,Wednesday,vegan,Ye Som Fir Fir,UberEats,1,5
05/01/2022,1,2022,Wednesday,vegan,Shiro Wot,UberEats,1,5
05/01/2022,1,2022,Wednesday,vegan,Kategna,UberEats,1,5
05/01/2022,1,2022,Wednesday,vegan,House Salad,Deliveroo,1,5
05/01/2022,1,2022,Wednesday,mixed,Lamb Tibs,Deliveroo,1,5
05/01/2022,1,2022,Wednesday,vegan,Shiro Wot,In-house,1,5
05/01/2022,1,2022,Wednesday,mixed,Key Wot,In-house,1,5
05/01/2022,1,2022,Wednesday,mixed,Minchet Abish Wot,JustEat,1,5
05/01/2022,1,2022,Wednesday,vegan,Ye Som Fir Fir,In-house,1,5
05/01/2022,1,2022,Wednesday,mixed,Minchet Abish Wot,Deliveroo,1,5
05/01/2022,1,2022,Wednesday,vegan,Miser Kik,UberEats,1,5
05/01/2022,1,2022,Wednesday,mixed,Minchet Abish Wot,JustEat,1,5
05/01/2022,1,2022,Wednesday,vegan,Veg Combination,In-house,1,5
05/01/2022,1,2022,Wednesday,mixed,Awaze Tibs,Deliveroo,1,5
05/01/2022,1,2022,Wednesday,vegan,Shiro Wot,Deliveroo,1,5
05/01/2022,1,2022,Wednesday,mixed,Doro Wot,JustEat,1,5
05/01/2022,1,2022,Wednesday,mixed,Key Wot,JustEat,1,5
05/01/2022,1,2022,Wednesday,mixed,Minchet Abish Wot,In-house,1,5
05/01/2022,1,2022,Wednesday,vegan,Shiro Wot,UberEats,1,5
05/01/2022,1,2022,Wednesday,vegan,Atkilt Wot,UberEats,1,5
06/01/2022,1,2022,Thursday,vegan,Miser Kik,In-house,1,5
06/01/2022,1,2022,Thursday,vegan,Ye Som Fir Fir,Deliveroo,1,5
06/01/2022,1,2022,Thursday,vegan,Fosolia,In-house,1,5
06/01/2022,1,2022,Thursday,mixed,Doro Wot,JustEat,1,5
06/01/2022,1,2022,Thursday,mixed,Meat Combination,JustEat,1,5
06/01/2022,1,2022,Thursday,vegan,Ater Kik,In-house,1,5
06/01/2022,1,2022,Thursday,mixed,Awaze Tibs,In-house,1,5
06/01/2022,1,2022,Thursday,mixed,Awaze Tibs,UberEats,1,5
06/01/2022,1,2022,Thursday,mixed,Key Wot,In-house,1,5
06/01/2022,1,2022,Thursday,vegan,Fosolia,UberEats,1,5
06/01/2022,1,2022,Thursday,mixed,Chicken Tibs,JustEat,1,5
06/01/2022,1,2022,Thursday,mixed,Beef Alicha,UberEats,1,5
06/01/2022,1,2022,Thursday,mixed,Doro Wot,UberEats,1,5
07/01/2022,1,2022,Friday,vegan,Fosolia,UberEats,2,7
07/01/2022,1,2022,Friday,vegan,Veg Combination,JustEat,1,7
07/01/2022,1,2022,Friday,vegan,Veg Samosa,UberEats,1,7
07/01/2022,1,2022,Friday,mixed,Lamb Tibs,JustEat,2,7
07/01/2022,1,2022,Friday,vegan,Spinach,UberEats,2,7
07/01/2022,1,2022,Friday,mixed,Key Wot,JustEat,1,7
07/01/2022,1,2022,Friday,mixed,Key Wot,Deliveroo,2,7
07/01/2022,1,2022,Friday,vegan,House Salad,UberEats,1,7
07/01/2022,1,2022,Friday,vegan,Fosolia,Deliveroo,2,7
07/01/2022,1,2022,Friday,vegan,Kategna,In-house,1,7
07/01/2022,1,2022,Friday,vegan,Kategna,JustEat,1,7
07/01/2022,1,2022,Friday,vegan,Veg Samosa,UberEats,2,7
07/01/2022,1,2022,Friday,mixed,Meat Samosa,In-house,2,7
07/01/2022,1,2022,Friday,mixed,Doro Wot,UberEats,1,7
07/01/2022,1,2022,Friday,mixed,Doro Wot,JustEat,1,7
07/01/2022,1,2022,Friday,mixed,Meat Samosa,UberEats,2,7
07/01/2022,1,2022,Friday,mixed,Chicken Tibs,JustEat,2,7
07/01/2022,1,2022,Friday,mixed,Meat Samosa,Deliveroo,2,7
07/01/2022,1,2022,Friday,mixed,Chicken Tibs,JustEat,2,7
07/01/2022,1,2022,Friday,mixed,Awaze Tibs,UberEats,1,7
07/01/2022,1,2022,Friday,mixed,Meat Combination,JustEat,1,7
07/01/2022,1,2022,Friday,vegan,Ater Kik,UberEats,1,7
07/01/2022,1,2022,Friday,vegan,Kategna,JustEat,1,7
07/01/2022,1,2022,Friday,vegan,Plain Rice,JustEat,1,7
07/01/2022,1,2022,Friday,mixed,Key Wot,JustEat,1,7
07/01/2022,1,2022,Friday,vegan,Spinach,JustEat,1,7
07/01/2022,1,2022,Friday,mixed,Meat Samosa,JustEat,2,7
07/01/2022,1,2022,Friday,mixed,Meat Combination,UberEats,2,7
07/01/2022,1,2022,Friday,mixed,Awaze Tibs,Deliveroo,2,7
07/01/2022,1,2022,Friday,vegan,Fosolia,JustEat,1,7
07/01/2022,1,2022,Friday,vegan,Fosolia,Deliveroo,2,7
07/01/2022,1,2022,Friday,vegan,Spinach,In-house,1,7
07/01/2022,1,2022,Friday,vegan,Fries,Deliveroo,2,7
07/01/2022,1,2022,Friday,mixed,Chicken Tibs,Deliveroo,1,7
07/01/2022,1,2022,Friday,vegan,Shiro Wot,In-house,1,7
07/01/2022,1,2022,Friday,vegan,Difen Miser Wot,JustEat,1,7
07/01/2022,1,2022,Friday,mixed,Lamb Tibs,In-house,1,7
07/01/2022,1,2022,Friday,vegan,Fosolia,JustEat,1,7
07/01/2022,1,2022,Friday,mixed,Meat Samosa,UberEats,2,7
07/01/2022,1,2022,Friday,mixed,Minchet Abish Wot,Deliveroo,2,7
07/01/2022,1,2022,Friday,vegan,Atkilt Wot,Deliveroo,1,7
07/01/2022,1,2022,Friday,mixed,Doro Wot,JustEat,2,7
07/01/2022,1,2022,Friday,vegan,Shiro Wot,JustEat,2,7
07/01/2022,1,2022,Friday,mixed,Key Wot,Deliveroo,1,7
07/01/2022,1,2022,Friday,vegan,Kategna,JustEat,2,7
07/01/2022,1,2022,Friday,mixed,Awaze Tibs,UberEats,1,7
07/01/2022,1,2022,Friday,mixed,Doro Wot,Deliveroo,1,7
07/01/2022,1,2022,Friday,vegan,Veg Samosa,JustEat,1,7
07/01/2022,1,2022,Friday,vegan,Ater Kik,In-house,1,7
07/01/2022,1,2022,Friday,vegan,Shiro Wot,In-house,2,7
07/01/2022,1,2022,Friday,mixed,Minchet Abish Wot,JustEat,2,7
07/01/2022,1,2022,Friday,mixed,Key Wot,Deliveroo,2,7
07/01/2022,1,2022,Friday,mixed,Lamb Tibs,Deliveroo,1,7
08/01/2022,1,2022,Saturday,vegan,Veg Samosa,In-house,1,9
08/01/2022,1,2022,Saturday,mixed,Key Wot,Deliveroo,1,9
08/01/2022,1,2022,Saturday,mixed,Beef Alicha,UberEats,1,9
08/01/2022,1,2022,Saturday,mixed,Awaze Tibs,In-house,2,9
08/01/2022,1,2022,Saturday,vegan,Fries,In-house,1,9
08/01/2022,1,2022,Saturday,mixed,Doro Wot,JustEat,1,9
08/01/2022,1,2022,Saturday,mixed,Meat Combination,UberEats,2,9
08/01/2022,1,2022,Saturday,vegan,Difen Miser Wot,JustEat,1,9
08/01/2022,1,2022,Saturday,mixed,Key Wot,JustEat,3,9
08/01/2022,1,2022,Saturday,vegan,Atkilt Wot,JustEat,1,9
08/01/2022,1,2022,Saturday,vegan,Spinach,In-house,3,9
08/01/2022,1,2022,Saturday,mixed,Beef Alicha,JustEat,3,9
08/01/2022,1,2022,Saturday,mixed,Lamb Tibs,In-house,1,9
08/01/2022,1,2022,Saturday,mixed,Chicken Tibs,Deliveroo,1,9
08/01/2022,1,2022,Saturday,vegan,Difen Miser Wot,In-house,1,9
08/01/2022,1,2022,Saturday,mixed,Doro Wot,Deliveroo,2,9
08/01/2022,1,2022,Saturday,mixed,Beef Alicha,UberEats,3,9
08/01/2022,1,2022,Saturday,mixed,Meat Samosa,Deliveroo,3,9
08/01/2022,1,2022,Saturday,vegan,House Salad,In-house,1,9
08/01/2022,1,2022,Saturday,vegan,Atkilt Wot,JustEat,2,9
08/01/2022,1,2022,Saturday,mixed,Minchet Abish Wot,In-house,1,9
08/01/2022,1,2022,Saturday,mixed,Meat Samosa,JustEat,1,9
08/01/2022,1,2022,Saturday,vegan,Kategna,In-house,3,9
08/01/2022,1,2022,Saturday,vegan,Plain Rice,Deliveroo,2,9
08/01/2022,1,2022,Saturday,vegan,Miser Kik,Deliveroo,1,9
08/01/2022,1,2022,Saturday,mixed,Beef Alicha,In-house,1,9
08/01/2022,1,2022,Saturday,mixed,Minchet Abish Wot,JustEat,2,9
08/01/2022,1,2022,Saturday,vegan,House Salad,UberEats,2,9
08/01/2022,1,2022,Saturday,vegan,Atkilt Wot,JustEat,1,9
08/01/2022,1,2022,Saturday,mixed,Lamb Tibs,In-house,2,9
08/01/2022,1,2022,Saturday,vegan,Shiro Wot,In-house,2,9
08/01/2022,1,2022,Saturday,mixed,Lamb Tibs,In-house,3,9
08/01/2022,1,2022,Saturday,vegan,Fosolia,JustEat,3,9
08/01/2022,1,2022,Saturday,mixed,Minchet Abish Wot,UberEats,1,9
08/01/2022,1,2022,Saturday,mixed,Beef Alicha,In-house,1,9
08/01/2022,1,2022,Saturday,mixed,Key Wot,UberEats,3,9
08/01/2022,1,2022,Saturday,mixed,Lamb Tibs,UberEats,3,9
08/01/2022,1,2022,Saturday,vegan,Difen Miser Wot,In-house,3,9
08/01/2022,1,2022,Saturday,mixed,Key Wot,Deliveroo,1,9
08/01/2022,1,2022,Saturday,mixed,Beef Alicha,UberEats,2,9
08/01/2022,1,2022,Saturday,mixed,Doro Wot,In-house,1,9
08/01/2022,1,2022,Saturday,vegan,Kategna,Deliveroo,3,9
08/01/2022,1,2022,Saturday,mixed,Chicken Tibs,In-house,1,9
08/01/2022,1,2022,Saturday,vegan,Spinach,UberEats,3,9
08/01/2022,1,2022,Saturday,vegan,Plain Rice,Deliveroo,2,9
08/01/2022,1,2022,Saturday,vegan,Plain Rice,UberEats,2,9
08/01/2022,1,2022,Saturday,vegan,Ye Som Fir Fir,In-house,2,9
08/01/2022,1,2022,Saturday,vegan,Plain Rice,JustEat,2,9
08/01/2022,1,2022,Saturday,vegan,Ye Som Fir Fir,JustEat,1,9
08/01/2022,1,2022,Saturday,vegan,Atkilt Wot,UberEats,1,9
08/01/2022,1,2022,Saturday,mixed,Doro Wot,UberEats,1,9
08/01/2022,1,2022,Saturday,mixed,Beef Alicha,Deliveroo,3,9
08/01/2022,1,2022,Saturday,mixed,Chicken Tibs,In-house,1,9
08/01/2022,1,2022,Saturday,vegan,Atkilt Wot,JustEat,3,9
08/01/2022,1,2022,Saturday,vegan,Ater Kik,In-house,1,9
08/01/2022,1,2022,Saturday,mixed,Chicken Tibs,JustEat,3,9
08/01/2022,1,2022,Saturday,vegan,Ater Kik,UberEats,2,9
08/01/2022,1,2022,Saturday,vegan,Plain Rice,JustEat,3,9
08/01/2022,1,2022,Saturday,vegan,Shiro Wot,Deliveroo,1,9
08/01/2022,1,2022,Saturday,mixed,Meat Samosa,Deliveroo,1,9
08/01/2022,1,2022,Saturday,vegan,Fries,JustEat,2,9
08/01/2022,1,2022,Saturday,mixed,Beef Alicha,In-house,3,9
08/01/2022,1,2022,Saturday,vegan,Fries,UberEats,1,9
08/01/2022,1,2022,Saturday,mixed,Chicken Tibs,JustEat,3,9
08/01/2022,1,2022,Saturday,mixed,Minchet Abish Wot,Deliveroo,3,9
08/01/2022,1,2022,Saturday,vegan,Spinach,JustEat,1,9
08/01/2022,1,2022,Saturday,mixed,Doro Wot,In-house,3,9
08/01/2022,1,2022,Saturday,vegan,Kategna,In-house,1,9
09/01/2022,1,2022,Sunday,mixed,Beef Alicha,JustEat,2,9
09/01/2022,1,2022,Sunday,vegan,Fries,UberEats,2,9
09/01/2022,1,2022,Sunday,mixed,Key Wot,In-house,3,9
09/01/2022,1,2022,Sunday,mixed,Meat Samosa,Deliveroo,2,9
09/01/2022,1,2022,Sunday,mixed,Chicken Tibs,In-house,2,9
09/01/2022,1,2022,Sunday,vegan,Atkilt Wot,JustEat,1,9
09/01/2022,1,2022,Sunday,mixed,Awaze Tibs,JustEat,1,9
09/01/2022,1,2022,Sunday,vegan,Fosolia,JustEat,2,9
09/01/2022,1,2022,Sunday,vegan,Kategna,JustEat,1,9
09/01/2022,1,2022,Sunday,vegan,Ater Kik,JustEat,2,9
09/01/2022,1,2022,Sunday,mixed,Minchet Abish Wot,In-house,1,9
09/01/2022,1,2022,Sunday,vegan,Difen Miser Wot,JustEat,2,9
09/01/2022,1,2022,Sunday,mixed,Chicken Tibs,Deliveroo,3,9
09/01/2022,1,2022,Sunday,vegan,Veg Combination,In-house,2,9
09/01/2022,1,2022,Sunday,mixed,Meat Samosa,UberEats,3,9
09/01/2022,1,2022,Sunday,mixed,Minchet Abish Wot,Deliveroo,3,9
09/01/2022,1,2022,Sunday,mixed,Minchet Abish Wot,UberEats,3,9
09/01/2022,1,2022,Sunday,mixed,Awaze Tibs,Deliveroo,2,9
09/01/2022,1,2022,Sunday,mixed,Key Wot,Deliveroo,1,9
09/01/2022,1,2022,Sunday,mixed,Minchet Abish Wot,In-house,2,9
09/01/2022,1,2022,Sunday,vegan,Spinach,JustEat,1,9
09/01/2022,1,2022,Sunday,vegan,Atkilt Wot,In-house,3,9
09/01/2022,1,2022,Sunday,vegan,Ye Som Fir Fir,In-house,3,9
09/01/2022,1,2022,Sunday,mixed,Doro Wot,UberEats,3,9
09/01/2022,1,2022,Sunday,mixed,Key Wot,JustEat,3,9
09/01/2022,1,2022,Sunday,vegan,Fries,In-house,2,9
09/01/2022,1,2022,Sunday,vegan,Veg Samosa,In-house,1,9
09/01/2022,1,2022,Sunday,vegan,Veg Samosa,UberEats,3,9
09/01/2022,1,2022,Sunday,vegan,Plain Rice,JustEat,2,9
09/01/2022,1,2022,Sunday,vegan,Ater Kik,Deliveroo,2,9
09/01/2022,1,2022,Sunday,vegan,House Salad,JustEat,1,9
09/01/2022,1,2022,Sunday,vegan,Difen Miser Wot,Deliveroo,2,9
09/01/2022,1,2022,Sunday,vegan,Veg Combination,In-house,1,9
09/01/2022,1,2022,Sunday,vegan,Kategna,JustEat,1,9
09/01/2022,1,2022,Sunday,mixed,Meat Samosa,In-house,3,9
09/01/2022,1,2022,Sunday,mixed,Doro Wot,JustEat,2,9
09/01/2022,1,2022,Sunday,mixed,Lamb Tibs,In-house,2,9
09/01/2022,1,2022,Sunday,mixed,Meat Combination,In-house,3,9
09/01/2022,1,2022,Sunday,vegan,Kategna,JustEat,3,9
